"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"187","187","Ireland-seanad-minutes-2013July16-p53.html","2013/7/16","16/Jul/2013 Land and Conveyancing Law Reform Bill 2013: Report Stage (Continued)","Question declared carried.","29","15"
"188","188","Ireland-seanad-minutes-2013July16-p54.html","2013/7/16","16/Jul/2013 Land and Conveyancing Law Reform Bill 2013: Fifth Stage","Question declared carried.","29","15"
"189","189","Ireland-seanad-minutes-2013July17-p12.html","2013/7/17","17/Jul/2013 Protection of Life During Pregnancy Bill 2013: Committee Stage (Continued)","Question declared carried.","39","13"
"190","190","Ireland-seanad-minutes-2013July17-p30.html","2013/7/17","17/Jul/2013 Protection of Life During Pregnancy Bill 2013: Committee Stage (Continued)","Amendment declared lost.","10","42"
"191","191","Ireland-seanad-minutes-2013July17-p46.html","2013/7/17","17/Jul/2013 Special Olympics Ireland: Motion (Continued)","Amendment declared lost.","16","29"
"192","192","Ireland-seanad-minutes-2013July17-p50.html","2013/7/17","17/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Motion to Recommit (Continued)","Question declared lost.","27","31"
"193","193","Ireland-seanad-minutes-2013July18-p17.html","2013/7/18","18/Jul/2013 Protection of Life During Pregnancy Bill 2013: Committee Stage (Resumed) (Continued)","Amendment declared lost."," 8","39"
"194","194","Ireland-seanad-minutes-2013July18-p29.html","2013/7/18","18/Jul/2013 Business of Seanad","Amendment declared carried.","37","13"
"195","195","Ireland-seanad-minutes-2013July18-p6.html","2013/7/18","18/Jul/2013 Order of Business (Continued)","Question declared carried.","33","13"
"196","196","Ireland-seanad-minutes-2013July18-p63.html","2013/7/18","18/Jul/2013 Protection of Life During Pregnancy Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","33","14"
"197","197","Ireland-seanad-minutes-2013July19-p11.html","2013/7/19","19/Jul/2013 Order of Business (Continued)","Amendment declared lost.","20","27"
"198","198","Ireland-seanad-minutes-2013July19-p12.html","2013/7/19","19/Jul/2013 Order of Business (Continued)","Question declared carried.","27","22"
"199","199","Ireland-seanad-minutes-2013July19-p15.html","2013/7/19","19/Jul/2013 Membership of Committees: Motion (Continued)","Question declared carried.","22","11"
"200","200","Ireland-seanad-minutes-2013July19-p27.html","2013/7/19","19/Jul/2013 Electoral, Local Government and Planning and Development Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","24"," 6"
"201","201","Ireland-seanad-minutes-2013July19-p9.html","2013/7/19","19/Jul/2013 Order of Business (Continued)","Amendment declared lost.","14","32"
"202","202","Ireland-seanad-minutes-2013July22-p20.html","2013/7/22","22/Jul/2013 Order of Business (Continued)","Amendment declared lost.","22","29"
"203","203","Ireland-seanad-minutes-2013July22-p21.html","2013/7/22","22/Jul/2013 Order of Business (Continued)","Question declared carried.","37","19"
"204","204","Ireland-seanad-minutes-2013July22-p33.html","2013/7/22","22/Jul/2013 Protection of Life During Pregnancy Bill 2013: Report Stage (Resumed) (Continued)","Amendment declared lost.","11","34"
"205","205","Ireland-seanad-minutes-2013July23-p29.html","2013/7/23","23/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Report Stage (Resumed) (Continued)","Question declared carried.","31","24"
"206","206","Ireland-seanad-minutes-2013July23-p30.html","2013/7/23","23/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Report Stage (Resumed) (Continued)","Question declared carried.","31","25"
"207","207","Ireland-seanad-minutes-2013July23-p35.html","2013/7/23","23/Jul/2013 Thirty-second Amendment of the Constitution (Abolition of Seanad Ã‰ireann) Bill 2013: Fifth Stage (Continued)","Question declared carried.","33","25"
"208","208","Ireland-seanad-minutes-2013July23-p36.html","2013/7/23","23/Jul/2013 RÃ¡iteas mar FhaisnÃ©is do VÃ_tÃ¡laithe i ndÃ¡il leis an mBille um an Dara LeasÃº is TrÃ_ocha ar an mBunreacht (Deireadh a Chur le Seanad Ã‰ireann) 2013: Tairiscint","Question declared carried.","30","25"
"209","209","Ireland-seanad-minutes-2013July23-p48.html","2013/7/23","23/Jul/2013 Protection of Life During Pregnancy Bill 2013: Report Stage (Resumed) and Final Stage (Continued)","Amendment declared lost.","14","34"
"210","210","Ireland-seanad-minutes-2013July23-p57.html","2013/7/23","23/Jul/2013 Protection of Life During Pregnancy Bill 2013: Report Stage (Resumed) and Final Stage (Continued)","Question declared carried.","39","14"
"211","211","Ireland-seanad-minutes-2013July24-p10.html","2013/7/24","24/Jul/2013 Order of Business (Continued)","Question declared carried.","34","11"
"212","212","Ireland-seanad-minutes-2013July24-p9.html","2013/7/24","24/Jul/2013 Order of Business (Continued)","Amendment declared lost.","17","28"
"213","213","Ireland-seanad-minutes-2013June12-p27.html","2013/6/12","12/Jun/2013 Youth Unemployment: Motion (Continued)","Amendment declared carried.","26","16"
"214","214","Ireland-seanad-minutes-2013June12-p28.html","2013/6/12","12/Jun/2013 Youth Unemployment: Motion (Continued)","Question declared carried.","28","15"
"215","215","Ireland-seanad-minutes-2013June13-p27.html","2013/6/13","13/Jun/2013 Social Welfare and Pensions (Miscellaneous Provisions) Bill 2013: Second Stage (Continued)","Question declared carried.","24","13"
"216","216","Ireland-seanad-minutes-2013June19-p10.html","2013/6/19","19/Jun/2013 Order of Business (Continued)","Question declared carried.","30","10"
"217","217","Ireland-seanad-minutes-2013June19-p18.html","2013/6/19","19/Jun/2013 Social Welfare and Pensions (Miscellaneous Provisions) Bill 2013: Committee Stage (Resumed) (Continued)","Amendment declared lost.","13","29"
"218","218","Ireland-seanad-minutes-2013June19-p22.html","2013/6/19","19/Jun/2013 Social Welfare and Pensions (Miscellaneous Provisions) Bill 2013: Committee Stage (Resumed) (Continued)","Amendment declared lost.","13","28"
"219","219","Ireland-seanad-minutes-2013June19-p32.html","2013/6/19","19/Jun/2013 Health (Amendment) Bill 2013: Second Stage (Continued)","Question declared carried.","23","12"
"220","220","Ireland-seanad-minutes-2013June19-p8.html","2013/6/19","19/Jun/2013 Order of Business (Continued)","Amendment declared lost.","15","27"
"221","221","Ireland-seanad-minutes-2013June19-p9.html","2013/6/19","19/Jun/2013 Order of Business (Continued)","Amendment declared lost."," 9","31"
"222","222","Ireland-seanad-minutes-2013June20-p11.html","2013/6/20","20/Jun/2013 Order of Business (Continued)","Amendment declared lost.","18","23"
"223","223","Ireland-seanad-minutes-2013June25-p16.html","2013/6/25","25/Jun/2013 Order of Business (Continued)","Amendment declared lost.","17","21"
