Year,Month,Day,File_Name,Subject,Non-RCV Result
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 10 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"[807]Sections 11 to 15, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"Sections 17 to 23, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 24 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 25 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 26 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Amendment agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 28 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 29 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"Sections 30 to 42, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 43 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 44 agreed to.
