Year,Month,Day,Vote #,Subject,Result,Ta/Nil,Tally,Legislator1,Legislator2,Legislator3,Legislator4,Legislator5,Legislator6,Legislator7,Legislator8,Legislator9,Legislator10,Legislator11,Legislator12,Legislator13,Legislator14,Legislator15,Legislator16,Legislator17,Legislator18,Legislator19,Legislator20,Legislator21,Legislator22,Legislator23,Legislator24,Legislator25,Legislator26,Legislator27,Legislator28,Legislator29,Legislator30,Legislator31,Legislator32,Legislator33,Legislator34,Legislator35,Legislator36,Legislator37,Legislator38,Legislator39,Legislator40,Legislator41,Legislator42,Legislator43,Legislator44,Legislator45,Legislator46,Legislator47,Legislator48,Legislator49,Legislator50,Legislator51,Legislator52,Legislator53,Legislator54
2012,December,18,0,18/Dec/2012 Order of Business (Continued),Amendment declared lost.,TA,14,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,DavidNorris,TrevorOClochartaigh,DarraghOBrien,DennisODonovan,NedOSullivan,AverilPower,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,18,0,18/Dec/2012 Order of Business (Continued),Amendment declared lost.,NIL,33,IvanaBacik,SeanDBarrett,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,RonanMullen,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,FergalQuinn,TomSheahan,JohnWhelan,KatherineZappone,,,,,,,,,,,,,,,,,,,,,
2012,December,18,1,18/Dec/2012 Social Welfare Bill 2012: Second Stage (Resumed) (Continued),Question declared carried.,TA,34,IvanaBacik,SeanDBarrett,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,JamesHeffernan,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,RonanMullen,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,FergalQuinn,TomSheahan,JohnWhelan,,,,,,,,,,,,,,,,,,,,
2012,December,18,1,18/Dec/2012 Social Welfare Bill 2012: Second Stage (Resumed) (Continued),Question declared carried.,NIL,22,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,FiachMacConghail,MarcMacSharry,MartinMcAleese,DavidNorris,DarraghOBrien,MaryAnnOBrien,MarieLouiseODonnell,DennisODonovan,NedOSullivan,TrevorOClochartaigh,BrianODomhnaill,AverilPower,JillianVanTurnhout,JimWalsh,MaryMWhite,DiarmuidWilson,KatherineZappone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,0,19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Continued),Amendment declared lost.,TA,5,SeanDBarrett,JohnCrown,RonanMullen,DavidNorris,FergalQuinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,0,19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Continued),Amendment declared lost.,NIL,40,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,DavidCullinane,MauriceCummins,JimDarcy,MichaelWDArcy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,TerryLeyden,MarcMacSharry,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,MarieLouiseODonnell,DennisODonovan,SusanOKeeffe,PatONeill,NedOSullivan,LabhrasOMurchu,KathrynReilly,TomSheahan,JillianVanTurnhout,JohnWhelan,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,
2012,December,19,1,19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Resumed) and Remaining Stages (Continued),Question declared carried.,TA,33,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,DavidCullinane,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,TrevorOClochartaigh,SusanOKeeffe,PatONeill,KathrynReilly,TomSheahan,JohnWhelan,,,,,,,,,,,,,,,,,,,,,
2012,December,19,1,19/Dec/2012 Health Insurance (Amendment) Bill 2012: Committee Stage (Resumed) and Remaining Stages (Continued),Question declared carried.,NIL,18,SeanDBarrett,ThomasByrne,JohnCrown,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,RonanMullen,DavidNorris,BrianODomhnaill,LabhrasOMurchu,DarraghOBrien,DennisODonovan,NedOSullivan,AverilPower,FergalQuinn,JillianVanTurnhout,MaryMWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,2,19/Dec/2012 Equal Status (Amendment) Bill 2012: Second Stage (Continued),Question declared carried.,TA,45,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,DavidCullinane,MauriceCummins,JimDarcy,MichaelWDArcy,MarkDaly,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,TerryLeyden,MarcMacSharry,MarieMoloney,PaschalMooney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,DarraghOBrien,DennisODonovan,SusanOKeeffe,PatONeill,NedOSullivan,TrevorOClochartaigh,BrianODomhnaill,AverilPower,TomSheahan,JillianVanTurnhout,JimWalsh,JohnWhelan,MaryMWhite,KatherineZappone,,,,,,,,,
2012,December,19,2,19/Dec/2012 Equal Status (Amendment) Bill 2012: Second Stage (Continued),Question declared carried.,NIL,4,SeanDBarrett,JohnCrown,DavidNorris,FergalQuinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
